,election_year,election_round,place_(zz_=_exterior),municipality_code,municipality_name,office,party_number,party_initials,party_name,number_of_votes
0,2014,1,ZZ,98906,CANADA,Presidente,13,PT,Partido dos Trabalhadores,358
1,2014,1,ZZ,11363,ITALIA,Presidente,13,PT,Partido dos Trabalhadores,979
2,2014,1,ZZ,98442,FILIPINAS,Presidente,13,PT,Partido dos Trabalhadores,11
3,2014,1,ZZ,29238,HUNGRIA,Presidente,13,PT,Partido dos Trabalhadores,17
4,2014,1,ZZ,98523,CINGAPURA,Presidente,13,PT,Partido dos Trabalhadores,4
5,2014,1,ZZ,29009,PAISES BAIXOS,Presidente,13,PT,Partido dos Trabalhadores,316
6,2014,1,ZZ,98728,EMIRADOS ARABES,Presidente,13,PT,Partido dos Trabalhadores,15
7,2014,1,ZZ,98140,TRINIDAD TOBAGO,Presidente,13,PT,Partido dos Trabalhadores,1
8,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,79
9,2014,1,ZZ,29653,CATAR,Presidente,13,PT,Partido dos Trabalhadores,13
10,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,108
11,2014,1,ZZ,29116,MOCAMBIQUE,Presidente,13,PT,Partido dos Trabalhadores,94
12,2014,1,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,177
13,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,118
14,2014,1,ZZ,39322,CHIPRE,Presidente,13,PT,Partido dos Trabalhadores,9
15,2014,1,ZZ,11509,PORTUGAL,Presidente,13,PT,Partido dos Trabalhadores,1433
16,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,147
17,2014,1,ZZ,11444,PARAGUAI,Presidente,13,PT,Partido dos Trabalhadores,51
18,2014,1,ZZ,39020,CROACIA,Presidente,13,PT,Partido dos Trabalhadores,3
19,2014,1,ZZ,11363,ITALIA,Presidente,13,PT,Partido dos Trabalhadores,647
20,2014,1,ZZ,11460,PERU,Presidente,13,PT,Partido dos Trabalhadores,110
21,2014,1,ZZ,11509,PORTUGAL,Presidente,13,PT,Partido dos Trabalhadores,1263
22,2014,1,ZZ,98922,BELGICA,Presidente,13,PT,Partido dos Trabalhadores,299
23,2014,1,ZZ,11444,PARAGUAI,Presidente,13,PT,Partido dos Trabalhadores,485
24,2014,1,ZZ,11827,GRECIA,Presidente,13,PT,Partido dos Trabalhadores,50
25,2014,1,ZZ,30414,PALESTINA,Presidente,13,PT,Partido dos Trabalhadores,315
26,2014,1,ZZ,11100,ALEMANHA,Presidente,13,PT,Partido dos Trabalhadores,404
27,2014,1,ZZ,29378,SERVIA,Presidente,13,PT,Partido dos Trabalhadores,5
28,2014,1,ZZ,98604,CABO VERDE,Presidente,13,PT,Partido dos Trabalhadores,22
29,2014,1,ZZ,29068,NAMIBIA,Presidente,13,PT,Partido dos Trabalhadores,10
30,2014,1,ZZ,11185,COLOMBIA,Presidente,13,PT,Partido dos Trabalhadores,117
31,2014,1,ZZ,98345,NORUEGA,Presidente,13,PT,Partido dos Trabalhadores,86
32,2014,1,ZZ,98949,AUSTRIA,Presidente,13,PT,Partido dos Trabalhadores,127
33,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,37
34,2014,1,ZZ,98868,CUBA,Presidente,13,PT,Partido dos Trabalhadores,84
35,2014,1,ZZ,98906,CANADA,Presidente,13,PT,Partido dos Trabalhadores,90
36,2014,1,ZZ,11320,GUIANA FRANCESA,Presidente,13,PT,Partido dos Trabalhadores,759
37,2014,1,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,283
38,2014,1,ZZ,98744,SUECIA,Presidente,13,PT,Partido dos Trabalhadores,208
39,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,382
40,2014,1,ZZ,98329,PANAMA,Presidente,13,PT,Partido dos Trabalhadores,92
41,2014,1,ZZ,98965,ANGOLA,Presidente,13,PT,Partido dos Trabalhadores,32
42,2014,1,ZZ,11509,PORTUGAL,Presidente,13,PT,Partido dos Trabalhadores,99
43,2014,1,ZZ,29025,HONG KONG,Presidente,13,PT,Partido dos Trabalhadores,21
44,2014,1,ZZ,98906,CANADA,Presidente,13,PT,Partido dos Trabalhadores,92
45,2014,1,ZZ,11380,JAPAO,Presidente,13,PT,Partido dos Trabalhadores,238
46,2014,1,ZZ,98248,SENEGAL,Presidente,13,PT,Partido dos Trabalhadores,15
47,2014,1,ZZ,98000,GUATEMALA,Presidente,13,PT,Partido dos Trabalhadores,24
48,2014,1,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,150
49,2014,1,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,195
50,2014,1,ZZ,29076,HONDURAS,Presidente,13,PT,Partido dos Trabalhadores,40
51,2014,1,ZZ,29203,IRA,Presidente,13,PT,Partido dos Trabalhadores,4
52,2014,1,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,389
53,2014,1,ZZ,11266,ESTADOS UNIDOS,Presidente,13,PT,Partido dos Trabalhadores,1015
54,2014,1,ZZ,11100,ALEMANHA,Presidente,13,PT,Partido dos Trabalhadores,352
55,2014,1,ZZ,11126,ARABIA SAUDITA,Presidente,13,PT,Partido dos Trabalhadores,2
56,2014,1,ZZ,11525,SUICA,Presidente,13,PT,Partido dos Trabalhadores,403
57,2014,1,ZZ,98027,GUINE BISSAU,Presidente,13,PT,Partido dos Trabalhadores,15
58,2014,1,ZZ,98841,INGLATERRA,Presidente,13,PT,Partido dos Trabalhadores,924
59,2014,1,ZZ,29246,HAITI,Presidente,13,PT,Partido dos Trabalhadores,11
60,2014,1,ZZ,11525,SUICA,Presidente,13,PT,Partido dos Trabalhadores,718
61,2014,1,ZZ,98838,NICARAGUA,Presidente,13,PT,Partido dos Trabalhadores,22
62,2014,1,ZZ,29645,TIMOR-LESTE,Presidente,13,PT,Partido dos Trabalhadores,6
63,2014,1,ZZ,98760,RUSSIA,Presidente,13,PT,Partido dos Trabalhadores,8
64,2014,1,ZZ,98787,AFRICA DO SUL,Presidente,13,PT,Partido dos Trabalhadores,22
